iter	Passed	Remaining
907	1775039	4089628
908	1777021	4087736
909	1779108	4086083
910	1781199	4084441
911	1783035	4082213
912	1785522	4081473
913	1788178	4081115
914	1790203	4079315
915	1792375	4077850
916	1794560	4076412
917	1796664	4074787
918	1798624	4072836
919	1800742	4071244
920	1803158	4070322
921	1805181	4068510
922	1807462	4067279
923	1809456	4065402
924	1811484	4063599
925	1813580	4061951
926	1815589	4060103
927	1817490	4058016
928	1819540	4056262
929	1821615	4054562
930	1823529	4052506
931	1825648	4050902
932	1827624	4048981
933	1829652	4047174
934	1831586	4045160
935	1833749	4043652
936	1835899	4042113
937	1837836	4040104
938	1839905	4038385
939	1841913	4036533
940	1843781	4034373
941	1845865	4032688
942	1847916	4030927
943	1850176	4029622
944	1852238	4027884
945	1854250	4026036
946	1856343	4024364
947	1858433	4022684
948	1860356	4020643
949	1862407	4018879
950	1864293	4016758
951	1866182	4014645
952	1868139	4012677
953	1870147	4010819
954	1872042	4008719
955	1874111	4006990
956	1876321	4005565
957	1878218	4003468
958	1880354	4001879
959	1882573	4000468
960	1884724	3998909
961	1886951	3997513
962	1889589	3996982
963	1891951	3995865
964	1894181	3994466
965	1896437	3993120
966	1898557	3991485
967	1900721	3989944
968	1903010	3988663
969	1905102	3986966
970	1907331	3985556
971	1909284	3983568
972	1911359	3981835
973	1913435	3980103
974	1915482	3978310
975	1917596	3976655
976	1919732	3975044
977	1921686	3973058
978	1923664	3971119
979	1925659	3969215
980	1927596	3967193
981	1929653	3965418
982	1931808	3963842
983	1933726	3961780
984	1935799	3960036
985	1938004	3958559
986	1940065	3956790
987	1941967	3954694
988	1943778	3952414
989	1945734	3950429
990	1947935	3948943
991	1949820	3946814
992	1951728	3944731
993	1953698	3942775
994	1955731	3940947
995	1957662	3938911
996	1959471	3936631
997	1961384	3934560
998	1963265	3932426
999	1965266	3930532
1000	1967352	3928809
1001	1969356	3926920
1002	1971365	3925042
1003	1973489	3923392
1004	1975547	3921609
1005	1977673	3919961
1006	1979612	3917941
1007	1981441	3915705
1008	1983453	3913832
1009	1985625	3912272
1010	1987599	3910322
1011	1989681	3908582
1012	1991821	3906958
1013	1994004	3905416
