iter	Passed	Remaining
951	6178	6801
952	6188	6798
953	6192	6789
954	6204	6789
955	6214	6786
956	6227	6787
957	6230	6776
958	6233	6766
959	6241	6761
960	6250	6757
961	6260	6755
962	6262	6743
963	6270	6739
964	6280	6736
965	6288	6731
966	6295	6724
967	6303	6719
968	6312	6716
969	6314	6704
970	6315	6692
971	6316	6680
972	6325	6676
973	6327	6664
974	6334	6659
975	6345	6657
976	6348	6646
977	6356	6642
978	6365	6638
979	6374	6634
980	6382	6629
981	6391	6626
982	6401	6622
983	6410	6618
984	6411	6607
985	6420	6603
986	6423	6592
987	6432	6588
988	6441	6584
989	6443	6573
990	6448	6566
991	6458	6562
992	6459	6550
993	6461	6539
994	6474	6540
995	6483	6535
996	6493	6532
997	6501	6527
998	6511	6524
999	6520	6520
1000	6531	6518
1001	6541	6515
1002	6551	6512
1003	6560	6508
1004	6561	6496
1005	6570	6491
1006	6579	6488
1007	6589	6485
1008	6599	6481
1009	6608	6477
1010	6617	6473
1011	6619	6462
1012	6629	6459
1013	6637	6454
1014	6638	6442
1015	6647	6438
1016	6648	6426
1017	6656	6421
1018	6665	6416
1019	6674	6412
1020	6675	6401
1021	6684	6396
1022	6693	6392
1023	6702	6387
1024	6710	6382
1025	6711	6371
1026	6719	6366
1027	6728	6361
1028	6732	6352
1029	6735	6343
1030	6744	6338
1031	6745	6327
1032	6753	6321
1033	6761	6316
1034	6769	6311
1035	6776	6305
1036	6778	6294
1037	6786	6289
1038	6789	6280
1039	6790	6268
1040	6791	6256
1041	6799	6251
1042	6808	6246
1043	6816	6241
1044	6820	6233
1045	6821	6221
1046	6828	6215
1047	6837	6211
1048	6853	6213
1049	6862	6208
1050	6871	6204
1051	6879	6199
1052	6890	6196
1053	6899	6192
1054	6915	6194
1055	6936	6200
1056	6945	6196
1057	6954	6192
1058	6962	6186
1059	6971	6182
1060	6978	6176
1061	6987	6171
1062	6997	6167
1063	7007	6164
1064	7017	6161
1065	7027	6157
1066	7036	6152
1067	7046	6148
1068	7054	6143
1069	7060	6137
1070	7069	6132
1071	7079	6128
1072	7087	6123
1073	7097	6119
1074	7105	6114
1075	7114	6109
1076	7119	6101
1077	7127	6095
1078	7135	6090
1079	7143	6085
1080	7144	6073
1081	7145	6062
1082	7147	6051
1083	7154	6045
1084	7158	6036
1085	7167	6032
1086	7176	6027
1087	7186	6023
1088	7201	6024
1089	7213	6021
1090	7213	6010
1091	7225	6007
1092	7233	6002
1093	7234	5991
1094	7236	5981
1095	7245	5976
1096	7254	5971
1097	7263	5966
1098	7272	5962
1099	7281	5957
1100	7289	5952
1101	7298	5947
1102	7308	5943
1103	7317	5939
1104	7327	5934
1105	7336	5930
1106	7345	5925
1107	7354	5920
1108	7362	5915
1109	7371	5910
1110	7371	5898
1111	7372	5887
1112	7382	5883
1113	7384	5873
1114	7386	5862
1115	7394	5857
1116	7396	5846
1117	7396	5835
1118	7407	5831
1119	7416	5827
1120	7425	5822
1121	7434	5817
1122	7439	5809
1123	7440	5798
1124	7442	5788
1125	7452	5784
1126	7462	5780
1127	7471	5775
1128	7480	5770
1129	7484	5762
1130	7494	5758
1131	7503	5753
1132	7512	5748
1133	7520	5743
1134	7530	5739
1135	7540	5734
1136	7542	5725
1137	7551	5720
1138	7560	5715
1139	7561	5704
1140	7571	5700
1141	7579	5694
1142	7588	5689
1143	7589	5678
1144	7596	5672
1145	7605	5667
1146	7610	5659
1147	7618	5654
1148	7625	5648
1149	7634	5642
1150	7635	5632
1151	7636	5621
1152	7637	5610
1153	7643	5603
1154	7649	5596
